Date,Time (UTC),Exchange,Symbol,Side,Quantity,Price,Total USD,Fee (est.),Net Amount,Order ID,Mode,Notes
,,,,,,,,,,,"NOTE","Hey, if you're at this stage of the video, you must be enjoying it... perhaps you could hit subscribe now? :)"
2026-04-18,20:03:38,BitGet,SPXUSDT,,,0.32,,,,BLOCKED,BLOCKED,"Failed: Volumen trocknet aus (letzte 3 Kerzen unter 20-Perioden-Ø)"
2026-04-18,20:06:10,BitGet,SPXUSDT,,,0.32,,,,BLOCKED,BLOCKED,"Failed: Volumen trocknet aus (letzte 3 Kerzen unter 20-Perioden-Ø)"
2026-04-19,06:45:50,BitGet,SPXUSDT,BUY,14.314343,0.35,5.00,0.0050,5.00,,LIVE,"Error: BitGet order failed: Request URL NOT FOUND"
2026-04-19,06:46:43,BitGet,SPXUSDT,BUY,14.314343,0.35,5.00,0.0050,5.00,,LIVE,"Error: BitGet order failed: [40404] Request URL NOT FOUND"
2026-04-19,06:47:32,BitGet,SPXUSDT,BUY,14.314343,0.35,5.00,0.0050,5.00,,LIVE,"Error: BitGet order failed: [45110] less than the minimum amount 5 USDT"
2026-04-19,06:47:44,BitGet,SPXUSDT,BUY,14.314343,0.35,5.00,0.0050,5.00,,LIVE,"Error: BitGet order failed: [45110] less than the minimum amount 5 USDT"
2026-04-19,06:48:20,BitGet,SPXUSDT,BUY,14.314343,0.35,5.00,0.0050,5.00,,LIVE,"Error: BitGet order failed: [45110] less than the minimum amount 5 USDT"
2026-04-19,06:48:41,BitGet,SPXUSDT,BUY,17.177212,0.35,6.00,0.0060,5.99,,LIVE,"Error: BitGet order failed: [40774] The order type for unilateral position must also be the unilateral position type."
2026-04-19,06:49:06,BitGet,SPXUSDT,BUY,17.177212,0.35,6.00,0.0060,5.99,,LIVE,"Error: BitGet order failed: [40774] The order type for unilateral position must also be the unilateral position type."
2026-04-19,06:49:19,BitGet,SPXUSDT,BUY,17.177212,0.35,6.00,0.0060,5.99,,LIVE,"Error: BitGet order failed: [400172] Margin Coin cannot be empty"
2026-04-19,06:49:32,BitGet,SPXUSDT,BUY,17.177212,0.35,6.00,0.0060,5.99,,LIVE,"Error: BitGet order failed: [400172] The margin mode cannot be empty"
2026-04-19,06:49:55,BitGet,SPXUSDT,BUY,17.177212,0.35,6.00,0.0060,5.99,,LIVE,"Error: BitGet order failed: [400172] The margin mode is illegal"
2026-04-19,06:55:30,BitGet,SPXUSDT,,,0.35,,,,BLOCKED,BLOCKED,"Failed: Preis über EMA(21) — Aufwärtstrend intakt; Volumen trocknet aus (letzte 3 Kerzen unter 20-Perioden-Ø)"
2026-04-19,07:42:49,BitGet,SPXUSDT,,,0.3405,,,,BLOCKED,,BLOCKED,"Failed: EMA Stack 3-Min (9<21<50); Preis unter VWAP; RSI(7) < 50 und > 20; Pullback an EMA9 erkannt (min. 2 Kerzen); Trigger-Kerze Volumen ≥ 20-Perioden-Ø"
2026-04-19,07:46:02,BitGet,SPXUSDT,,,0.3405,,,,BLOCKED,,BLOCKED,"Failed: EMA Stack 3-Min"
